iter	Passed	Remaining
740	3595	1256
741	3600	1252
742	3604	1246
743	3609	1241
744	3613	1236
745	3618	1231
746	3623	1227
747	3627	1222
748	3632	1217
749	3636	1212
750	3640	1207
751	3645	1202
752	3649	1197
753	3654	1192
754	3659	1187
755	3664	1182
756	3668	1177
757	3673	1172
758	3679	1168
759	3684	1163
760	3689	1158
761	3695	1154
762	3700	1149
763	3705	1144
764	3711	1140
765	3716	1135
766	3721	1130
767	3727	1125
768	3732	1121
769	3737	1116
770	3741	1111
771	3746	1106
772	3751	1101
773	3756	1096
774	3760	1091
775	3765	1086
776	3769	1081
777	3774	1077
778	3779	1072
779	3784	1067
780	3789	1062
781	3794	1057
782	3799	1052
783	3804	1048
784	3808	1043
785	3813	1038
786	3817	1033
787	3823	1028
788	3828	1023
789	3832	1018
790	3839	1014
791	3843	1009
792	3847	1004
793	3851	999
794	3856	994
795	3860	989
796	3865	984
797	3869	979
798	3874	974
799	3878	969
800	3882	964
801	3887	959
802	3892	954
803	3896	949
804	3900	944
805	3905	939
806	3910	935
807	3915	930
808	3920	925
809	3925	920
810	3930	915
811	3937	911
812	3942	906
813	3946	901
814	3950	896
815	3955	892
816	3961	887
817	3966	882
818	3971	877
819	3976	872
820	3980	867
821	3985	862
822	3989	858
823	3994	853
824	3998	848
825	4002	843
826	4008	838
827	4013	833
828	4018	828
829	4024	824
830	4029	819
831	4033	814
832	4037	809
833	4041	804
834	4046	799
835	4050	794
836	4056	789
837	4060	784
838	4065	780
839	4069	775
840	4073	770
841	4077	765
842	4082	760
843	4087	755
844	4091	750
845	4095	745
846	4100	740
847	4104	735
848	4108	730
849	4112	725
850	4117	720
851	4121	716
852	4125	711
853	4130	706
854	4134	701
855	4138	696
856	4143	691
857	4147	686
858	4151	681
859	4156	676
860	4160	671
861	4165	666
862	4169	661
863	4173	656
864	4177	652
865	4182	647
866	4186	642
867	4191	637
868	4195	632
869	4199	627
870	4204	622
871	4208	617
872	4213	612
873	4217	607
874	4221	603
875	4227	598
876	4231	593
877	4236	588
878	4241	583
879	4245	578
880	4249	574
881	4253	569
882	4257	564
883	4262	559
884	4266	554
885	4270	549
886	4274	544
887	4279	539
888	4284	534
889	4288	530
890	4293	525
891	4297	520
892	4302	515
893	4306	510
894	4311	505
895	4316	501
